Arpae-SIMC

Bologna urbana
Inizio validità (UTC),Fine validità (UTC),Irradianza globale visibile media oraria - componente dall'alto (W/M**2)
2015-05-31 21:00:00+00:00,2015-05-31 22:00:00+00:00,-2
2015-05-31 22:00:00+00:00,2015-05-31 23:00:00+00:00,-2
2015-05-31 23:00:00+00:00,2015-06-01 00:00:00+00:00,-2
2015-06-01 00:00:00+00:00,2015-06-01 01:00:00+00:00,-2
2015-06-01 01:00:00+00:00,2015-06-01 02:00:00+00:00,-6
2015-06-01 02:00:00+00:00,2015-06-01 03:00:00+00:00,-5
2015-06-01 03:00:00+00:00,2015-06-01 04:00:00+00:00,-2
2015-06-01 04:00:00+00:00,2015-06-01 05:00:00+00:00,70
2015-06-01 05:00:00+00:00,2015-06-01 06:00:00+00:00,250
2015-06-01 06:00:00+00:00,2015-06-01 07:00:00+00:00,377
2015-06-01 07:00:00+00:00,2015-06-01 08:00:00+00:00,555
2015-06-01 08:00:00+00:00,2015-06-01 09:00:00+00:00,751
2015-06-01 09:00:00+00:00,2015-06-01 10:00:00+00:00,851
2015-06-01 10:00:00+00:00,2015-06-01 11:00:00+00:00,896
2015-06-01 11:00:00+00:00,2015-06-01 12:00:00+00:00,848
2015-06-01 12:00:00+00:00,2015-06-01 13:00:00+00:00,730
2015-06-01 13:00:00+00:00,2015-06-01 14:00:00+00:00,723
2015-06-01 14:00:00+00:00,2015-06-01 15:00:00+00:00,306
2015-06-01 15:00:00+00:00,2015-06-01 16:00:00+00:00,166
2015-06-01 16:00:00+00:00,2015-06-01 17:00:00+00:00,207
2015-06-01 17:00:00+00:00,2015-06-01 18:00:00+00:00,38
2015-06-01 18:00:00+00:00,2015-06-01 19:00:00+00:00,4
2015-06-01 19:00:00+00:00,2015-06-01 20:00:00+00:00,-2
2015-06-01 20:00:00+00:00,2015-06-01 21:00:00+00:00,-5
2015-06-01 21:00:00+00:00,2015-06-01 22:00:00+00:00,-2
2015-06-01 22:00:00+00:00,2015-06-01 23:00:00+00:00,0
2015-06-01 23:00:00+00:00,2015-06-02 00:00:00+00:00,0
2015-06-02 00:00:00+00:00,2015-06-02 01:00:00+00:00,-2
2015-06-02 01:00:00+00:00,2015-06-02 02:00:00+00:00,-6
2015-06-02 02:00:00+00:00,2015-06-02 03:00:00+00:00,-9
2015-06-02 03:00:00+00:00,2015-06-02 04:00:00+00:00,1
2015-06-02 04:00:00+00:00,2015-06-02 05:00:00+00:00,77
2015-06-02 05:00:00+00:00,2015-06-02 06:00:00+00:00,287
2015-06-02 06:00:00+00:00,2015-06-02 07:00:00+00:00,384
